2025-05-13 19:03:10.375 |  | INFO     | server:lifespan:35 - RuoYi-FastAPI开始启动
2025-05-13 19:03:10.378 |  | INFO     | config.get_db:init_create_table:21 - 初始化数据库连接...
2025-05-13 19:03:10.594 |  | INFO     | config.get_db:init_create_table:24 - 数据库连接成功
2025-05-13 19:03:10.594 |  | INFO     | config.get_redis:create_redis_pool:22 - 开始连接redis...
2025-05-13 19:03:12.651 |  | ERROR    | config.get_redis:create_redis_pool:43 - redis连接错误，详细错误信息：Error 10061 connecting to 127.0.0.1:6379. Connect call failed ('127.0.0.1', 6379).
2025-05-13 19:03:38.536 |  | INFO     | server:lifespan:35 - RuoYi-FastAPI开始启动
2025-05-13 19:03:38.539 |  | INFO     | config.get_db:init_create_table:21 - 初始化数据库连接...
2025-05-13 19:03:38.581 |  | INFO     | config.get_db:init_create_table:24 - 数据库连接成功
2025-05-13 19:03:38.582 |  | INFO     | config.get_redis:create_redis_pool:22 - 开始连接redis...
2025-05-13 19:03:38.585 |  | INFO     | config.get_redis:create_redis_pool:35 - redis连接成功
2025-05-13 19:03:38.676 |  | INFO     | config.get_scheduler:init_system_scheduler:134 - 开始启动定时任务...
2025-05-13 19:03:38.705 |  | INFO     | config.get_scheduler:init_system_scheduler:142 - 系统初始定时任务加载成功
2025-05-13 19:03:38.705 |  | INFO     | server:lifespan:42 - RuoYi-FastAPI启动成功
2025-05-13 19:04:05.928 | 5d806a7d65db424291c72b62a3c28fcc | INFO     | module_admin.controller.captcha_controller:get_captcha_image:34 - 编号为0bd2b333-c2d9-4ce4-8edb-341df88ffbd1的会话获取图片验证码成功
2025-05-13 19:04:06.262 | 39215c1d15a74dc08de9872eceaf4604 | INFO     | module_admin.controller.captcha_controller:get_captcha_image:34 - 编号为4d42221c-e552-45c0-b9ca-cc500a09de4e的会话获取图片验证码成功
2025-05-13 19:04:09.167 | 50cbd54a652f456483f1c016b38d4647 | INFO     | module_admin.controller.login_controller:login:71 - 登录成功
2025-05-13 19:04:09.208 | 7b73a34dcd714f28bbd8a8c3a2feb015 | INFO     | module_admin.controller.login_controller:get_login_user_info:84 - 获取成功
2025-05-13 19:04:09.234 | 9d299122a10d4aa480a208e344f2f6ed | INFO     | module_admin.controller.login_controller:get_login_user_routers:95 - 获取成功
2025-05-13 19:14:09.642 | 9ee519bb19694c79a69aa4b1a23b724f | INFO     | module_generator.controller.gen_controller:get_gen_table_list:33 - 获取成功
2025-05-13 19:14:13.004 | 37814019aa484627a4c1bb07704f6316 | INFO     | module_generator.controller.gen_controller:get_gen_db_table_list:48 - 获取成功
2025-05-13 19:14:16.007 | 1ca5debc3f124ff9bec05a3d248c2443 | INFO     | module_generator.controller.gen_controller:import_gen_table:64 - 导入成功
2025-05-13 19:14:16.092 | 5c545dd58c98464fb097617a53c5b007 | INFO     | module_generator.controller.gen_controller:get_gen_table_list:33 - 获取成功
2025-05-13 19:14:17.776 | c4daa51f47c345e883ee53e7191bd3ce | WARNING  | exceptions.handle:service_warning_handler:57 - 请先完善生成配置信息
2025-05-13 19:14:20.108 | 939eb8b94a80499993b196888bc5db30 | INFO     | module_generator.controller.gen_controller:query_detail_gen_table:139 - 获取table_id为3的信息成功
2025-05-13 19:14:20.164 | c944994c5a8042c18c84fb76bf329d98 | INFO     | module_admin.controller.menu_controller:get_system_menu_list:56 - 获取成功
